GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AcmeLibrary,library,Book,0,59,0,4,0,16,0,8,0,6
AcmeLibrary,library,Subject,0,23,0,0,0,10,0,5,0,5
AcmeLibrary,library,Author,0,59,1,7,0,17,1,10,0,7
AcmeLibrary,library,Magazine,0,49,0,4,0,12,0,6,0,4
AcmeLibrary,library,Paper,0,86,0,10,0,21,0,12,0,7
AcmeLibrary,library,Publication,0,43,0,0,0,18,0,9,0,9
AcmeLibrary,library,Agent,0,13,0,0,0,6,0,3,0,3
AcmeLibrary,library,Editor,0,20,0,0,0,7,0,4,0,4
AcmeLibrary,services,LibraryService,0,52,0,0,0,16,0,12,0,12
AcmeLibrary,library.exceptions,InvalidAuthorException,0,4,0,0,0,2,0,1,0,1
AcmeLibrary,library.exceptions,InvalidEditorException,0,4,0,0,0,2,0,1,0,1
AcmeLibrary,library.exceptions,InvalidPublicationException,0,4,0,0,0,2,0,1,0,1
AcmeLibrary,repository,InMemoryRepository,0,127,0,8,0,27,0,14,0,10
